Team,Avg Kills,Avg Deaths,Avg Cores,Avg Monuments,Avg Wools
#YOLOSwag,4779.75,3024.083333,46.58333333,22,120.75
BrainCrack,71.41666667,97.16666667,0,0.083333333,0
Code9,697.4166667,737.3333333,2.416666667,0.666666667,4.333333333
Duncanites,4103.25,2664.583333,50.41666667,14.41666667,37.5
Impact,22617.91667,8168.75,175.75,44.41666667,234
Implosion,1029.416667,1707.75,17.58333333,6.25,6.166666667
LungGlove,6532,3805.416667,171.75,35.83333333,94.58333333
Madhouse,4818.166667,2572.333333,64.41666667,24.33333333,31.5
Multiple Scoregasms,7746.166667,4334.5,166.25,39.5,105.25
OmegaGamers,5360.5,3485.166667,62,20.5,69.91666667
Sand Bag,6653.75,3025.5,64,17,73.58333333
SexySquad,13155.83333,4534.916667,165.9166667,53.66666667,109.75
Tasty Mofo's,5242.416667,3244.416667,93.16666667,21.5,37.75
Team Fishy,11881.66667,5316,187.1666667,67.08333333,81.66666667
Team Ligers,4489.916667,2888.833333,72.33333333,35,51.91666667
TreeFrogs,4064.333333,3425.5,71.33333333,18.08333333,50.91666667
Badlion,10027.09091,2553,29.45454545,4.727272727,57.72727273
BichesGonCrazy,1485,977.0909091,19.90909091,2.818181818,8.909090909
Gummy Bears,1744.090909,1544.545455,6.818181818,1.181818182,6
Starfish,15974.18182,5218.454545,102.6363636,23.45454545,99.36363636
Team Soup 'n' Creme,5669.727273,3908.636364,133.4545455,41.36363636,64.27272727
Team Synergy,517.1666667,695.8333333,12.58333333,4.083333333,4.916666667
TeamXD,3139.181818,2647.454545,51.18181818,14.27272727,37.18181818
The Elite Assassins,2987.909091,2203.727273,34.72727273,14.36363636,8.727272727
Vicious And Delicious,6134.636364,2729.727273,89.36363636,30,36.63636364
Dragonite,935.5,943.2,33.5,3.2,14.8
Loading...,2507.7,1347.3,34.4,9,22.6
Nope,2172.2,956.8,32.5,14.6,16
Turquaars,1283.333333,786.5555556,4.111111111,0.666666667,2.444444444
DeathSquad,2187.125,1162.75,31.25,3.375,26.625
Mooshroom Madness,697.375,407.625,1.25,0.875,3.875
The Imposters,2025.125,1099.375,20.875,4,21.625
